path,relative_path,image,split,folder_label,csv_label,label,class_name,suffix,size_bytes,width,height,channels,mean_brightness,is_damaged,sha1,is_duplicate,label_mismatch
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\5\train_05911_aligned.jpg,raw_aligned/train/5/train_05911_aligned.jpg,train_05911_aligned.jpg,train,5,5,4,sadness,.jpg,2972,224,224,3,138.4802,False,b1a97e50bde2f0870755ffa7e1f1b09ca2db2c95,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\4\train_05817_aligned.jpg,raw_aligned/train/4/train_05817_aligned.jpg,train_05817_aligned.jpg,train,4,4,3,happiness,.jpg,2401,224,224,3,196.0819,False,3d246437df1b81f182c479b728083d9bd902dfe8,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\4\train_00561_aligned.jpg,raw_aligned/train/4/train_00561_aligned.jpg,train_00561_aligned.jpg,train,4,4,3,happiness,.jpg,2822,224,224,3,158.4953,False,52ca6ccf15bd7d058599f3ac233c786eee9ca279,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\6\train_00475_aligned.jpg,raw_aligned/train/6/train_00475_aligned.jpg,train_00475_aligned.jpg,train,6,6,5,anger,.jpg,2414,224,224,3,142.9356,False,7511ae96dc46722221ec50be8eb7b4660bad8b6f,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\4\train_05050_aligned.jpg,raw_aligned/train/4/train_05050_aligned.jpg,train_05050_aligned.jpg,train,4,4,3,happiness,.jpg,3131,224,224,3,77.8731,False,75e5b83c87f48ad519a1f9b86c41fbe67cef8362,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\4\train_03695_aligned.jpg,raw_aligned/train/4/train_03695_aligned.jpg,train_03695_aligned.jpg,train,4,4,3,happiness,.jpg,2160,224,224,3,137.6956,False,d689e2f5733537740c24b6a6324f6d46635b2ea9,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\4\train_01504_aligned.jpg,raw_aligned/train/4/train_01504_aligned.jpg,train_01504_aligned.jpg,train,4,4,3,happiness,.jpg,1992,224,224,3,134.7341,False,c5d0c685791d5ac01561ef31458bf6ef00be7286,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\7\train_11466_aligned.jpg,raw_aligned/train/7/train_11466_aligned.jpg,train_11466_aligned.jpg,train,7,7,6,neutral,.jpg,2124,224,224,3,150.6985,False,c9e0ba144555ce41a5231148bbb3e6fefd67643c,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\1\train_08975_aligned.jpg,raw_aligned/train/1/train_08975_aligned.jpg,train_08975_aligned.jpg,train,1,1,0,surprise,.jpg,2811,224,224,3,152.1854,False,9cc04353fdd380df68c011bc2968be2592c0bf44,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\2\train_09296_aligned.jpg,raw_aligned/train/2/train_09296_aligned.jpg,train_09296_aligned.jpg,train,2,2,1,fear,.jpg,2515,224,224,3,60.8701,False,87fcb1e40bdc12e9c14a26de2c3f2e51848c70c1,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\4\train_01915_aligned.jpg,raw_aligned/train/4/train_01915_aligned.jpg,train_01915_aligned.jpg,train,4,4,3,happiness,.jpg,2026,224,224,3,151.8188,False,81cdc899650a8e9f53a531386557d5d202f5c5f2,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\1\train_01611_aligned.jpg,raw_aligned/train/1/train_01611_aligned.jpg,train_01611_aligned.jpg,train,1,1,0,surprise,.jpg,2236,224,224,3,161.3105,False,059cb433cd3d5a4e2ab5d06e2e5eaa89840f4be9,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\4\train_01754_aligned.jpg,raw_aligned/train/4/train_01754_aligned.jpg,train_01754_aligned.jpg,train,4,4,3,happiness,.jpg,2663,224,224,3,105.1427,False,b01f34ded7003c98635f0935b78c0f5fd8c63fb5,False,False
C:\Users\mijam\OneDrive\Desktop\COPIA DE SEGURIDAD PROYECTO IA PARA MARIO\IA\dataset\raw_aligned\train\6\train_00461_aligned.jpg,raw_aligned/train/6/train_00461_aligned.jpg,train_00461_aligned.jpg,train,6,6,5,anger,.jpg,2564,224,224,3,155.112,False,5f18d00d8b932a0ca9166a7580ddaf00dc7a394c,False,False
